Unrestricted Electives,Faculty Requirements:,Faculty Requirement MCs:,Common Core,Common Core MCs,Core Modules:,Core Modules MCs:,Design and Project Modules:,Design and Project Modules MCs:,Electives:,Elective MCs:
28,EG2401A Engineering Professionalism,2,MA1505 Mathematics I,4,CE2112 Soil Mechanics (G),4,CE4103 Design Project,4,Technical Electives,0
,ES1531 Critical Thinking and Writing,4,MLE1010 Materials Engineering Principles and Practice,4,CE2134 Hydraulics (H),4,CE4104 BEng Dissertation,8,Pathway Electives,0
,,,CS10101E Programming Methodology,4,CE2155 Structural Mechanics and Materials (S),4,,,EG3611A Industrial Attachment (IA),10
,,,CE1101A Civil Engineering Principles & Practice,4,CE2183 Construction Project Management (C),4,,,,
,,,CE2101 Principles & Practice in Infrastructure and Environment,4,CE2407 Engineering and Uncertainty Analyses,4,,,,
,,,EG2211 Introduction to Machine Learning,4,ESE3001 Water Quality Engineering (E),4,,,,
,,,IE2141 Systems Thinking and Dynamics,4,CE3115 Geotechnical Engineering (G),4,,,,
,,,CE2410 Virtual Design and Modelling,4,CE3116 Foundation Engineering (G),4,,,,
,,,,,CE3121 Transportation Engineering (T),4,,,,
,,,,,CE3132 Water Resources Engineering (H),4,,,,
,,,,,CE3155 Structural Analysis (S),4,,,,
,,,,,CE3165 Structural Concrete Design (S),4,,,,
,,,,,CE3166 Structural Steel Design and System (S),4,,,,
