route | amk hub to sentosa  (BUS) | Bus Service 166/Bus Service NR1/
node | BUS | 54009 | Ang Mo Kio Int | Ang Mo Kio Ave 8 | 1.36968769913339 | 103.84856716193268
node | BUS | 54248 | Blk 324 | Ang Mo Kio Ave 3 | 1.36875490594243 | 103.84661006967286
node | BUS | 54239 | Blk 209 | Ang Mo Kio Ave 3 | 1.369186093503 | 103.84332015576305
node | BUS | 54229 | Ang Mo Kio Pr Sch | Ang Mo Kio Ave 3 | 1.36960577947339 | 103.83993274827546
node | BUS | 54219 | OPP MAYFLOWER SEC SCH | Ang Mo Kio Ave 3 | 1.36880777071199 | 103.83679395921905
node | BUS | 54069 | Opp Blk 244 | Ang Mo Kio Ave 1 | 1.36691997150676 | 103.83405562626137
node | BUS | 56269 | BEF Ang mo kio avenue 2 | Ang Mo Kio Ave 1 | 1.36741835425889 | 103.83233403239235
node | BUS | 53099 | Aft Ang Mo Kio Ave 1 | Upp Thomson Rd | 1.36660638165473 | 103.82842866172699
node | BUS | 53089 | Faber Gdn | Upp Thomson Rd | 1.36413164157937 | 103.82823689416603
node | BUS | 53079 | Flame Tree Pk | Upp Thomson Rd | 1.36082666696977 | 103.82864333297208
node | BUS | 53069 | Aft Windsor Pk Rd | Upp Thomson Rd | 1.35777159286274 | 103.82894351047115
node | BUS | 53059 | Opp Thomson Plaza | Upp Thomson Rd | 1.355471 | 103.8312231
node | BUS | 53049 | Bef Jln Todak | Upp Thomson Rd | 1.35362664583092 | 103.83422172361446
node | BUS | 53039 | Thomson CC | Upp Thomson Rd | 1.35144681735328 | 103.83591070615076
node | BUS | 53029 | Shunfu Est | Upp Thomson Rd | 1.34939240848355 | 103.83729222566143
node | BUS | 53019 | OPP ST. THERESA'S HME | Upp Thomson Rd | 1.34600349626668 | 103.83871779531225
node | BUS | 51069 | Mt Alvernia Hosp | Thomson Rd | 1.34125785266365 | 103.83660435635784
node | BUS | 51059 | AFT TOA PAYOH RISE | Thomson Rd | 1.3370325833883 | 103.83735019393414
node | BUS | 51049 | SLF Cplx | Thomson Rd | 1.3338213150365 | 103.83795811295674
node | BUS | 51039 | Opp S'pore Polo Club | Thomson Rd | 1.33165828742218 | 103.83888866147537
node | BUS | 51029 | Opp Old Police Academy | Thomson Rd | 1.3302549684081 | 103.8397133983878
node | BUS | 51019 | Thomson Flyover | Thomson Rd | 1.32894248973791 | 103.84066508496021
node | BUS | 50059 | Opp Thomson Med Ctr | Thomson Rd | 1.32489453398384 | 103.84211744421322
node | BUS | 50049 | Opp Novena Lodge | Thomson Rd | 1.32354108650178 | 103.84189326889334
node | BUS | 50038 | Novena Stn | Thomson Rd | 1.31962671001555 | 103.84343862536716
node | BUS | 50029 | Opp United Sq | Thomson Rd | 1.31647941614673 | 103.84484281963609
node | BUS | 50019 | Parish Of Christ Ch | Keng Lee Rd | 1.31194891032358 | 103.84763856174139
node | BUS | 40109 | Opp KK Women & Child Hosp | Kg Java Rd | 1.30949131269895 | 103.84770747833439
node | BUS | 40019 | Little India Stn | Bt Timah Rd | 1.30664404460339 | 103.84920416709382
node | BUS | 07539 | Opp Rochor Stn | Sungei Rd | 1.30461300741211 | 103.8520009720951
node | BUS | 07518 | OPP NAFA CAMPUS 3 | Bencoolen St | 1.30095828368506 | 103.85211175034802
